,date,windspeed
582,2014-11-22T23:59:00,5.0
583,2014-11-23T23:59:00,3.9
584,2014-11-24T23:59:00,5.4
585,2014-11-25T23:59:00,5.1
586,2014-11-26T23:59:00,8.8
587,2014-11-27T23:59:00,5.1
588,2014-11-28T23:59:00,5.8
589,2014-11-29T23:59:00,3.6
590,2014-11-30T23:59:00,4.2
591,2014-12-01T23:59:00,6.6
592,2014-12-02T23:59:00,9.2
593,2014-12-03T23:59:00,7.7
594,2014-12-04T23:59:00,5.8
595,2014-12-05T23:59:00,6.1
596,2014-12-06T23:59:00,4.1
597,2014-12-07T23:59:00,11.8
598,2014-12-08T23:59:00,11.5
599,2014-12-09T23:59:00,10.3
600,2014-12-10T23:59:00,8.2
601,2014-12-11T23:59:00,7.6
602,2014-12-12T23:59:00,8.0
603,2014-12-13T23:59:00,8.9
604,2014-12-14T23:59:00,6.0
605,2014-12-15T23:59:00,2.7
606,2014-12-16T23:59:00,3.7
607,2014-12-17T23:59:00,5.8
608,2014-12-18T23:59:00,8.7
609,2014-12-19T23:59:00,7.2
610,2014-12-20T23:59:00,4.8
611,2014-12-21T23:59:00,4.8
612,2014-12-22T23:59:00,6.0
613,2014-12-23T23:59:00,8.2
614,2014-12-24T23:59:00,5.7
615,2014-12-25T23:59:00,9.5
616,2014-12-26T23:59:00,5.9
617,2014-12-27T23:59:00,4.4
618,2014-12-28T23:59:00,5.8
619,2014-12-29T23:59:00,5.2
620,2014-12-30T23:59:00,4.3
621,2014-12-31T23:59:00,5.5
